Size, Type, Time
100, "Sequential", 0.000007
100, "Parallel", 0.009340
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.008661
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.007953
100, "Built-in", 0.000006
100, "Sequential", 0.000006
100, "Parallel", 0.008923
100, "Built-in", 0.000006
100, "Sequential", 0.000007
100, "Parallel", 0.008000
100, "Built-in", 0.000006
1000, "Sequential", 0.000089
1000, "Parallel", 0.028105
1000, "Built-in", 0.000078
1000, "Sequential", 0.000090
1000, "Parallel", 0.022300
1000, "Built-in", 0.000078
1000, "Sequential", 0.000089
1000, "Parallel", 0.021417
1000, "Built-in", 0.000082
1000, "Sequential", 0.000090
1000, "Parallel", 0.028134
1000, "Built-in", 0.000080
1000, "Sequential", 0.000091
1000, "Parallel", 0.024479
1000, "Built-in", 0.000076
10000, "Sequential", 0.001158
10000, "Parallel", 0.053926
10000, "Built-in", 0.000868
10000, "Sequential", 0.001138
10000, "Parallel", 0.048098
10000, "Built-in", 0.000895
10000, "Sequential", 0.001191
10000, "Parallel", 0.045027
10000, "Built-in", 0.000868
10000, "Sequential", 0.001165
10000, "Parallel", 0.048633
10000, "Built-in", 0.000856
10000, "Sequential", 0.001135
10000, "Parallel", 0.045704
10000, "Built-in", 0.000950
100000, "Sequential", 0.014365
100000, "Parallel", 0.066397
100000, "Built-in", 0.010863
100000, "Sequential", 0.014893
100000, "Parallel", 0.067083
100000, "Built-in", 0.011154
100000, "Sequential", 0.014134
100000, "Parallel", 0.058355
100000, "Built-in", 0.010969
100000, "Sequential", 0.013807
100000, "Parallel", 0.072812
100000, "Built-in", 0.011186
100000, "Sequential", 0.014290
100000, "Parallel", 0.056907
100000, "Built-in", 0.011387
1000000, "Sequential", 0.166723
1000000, "Parallel", 0.168838
1000000, "Built-in", 0.131717
1000000, "Sequential", 0.149445
1000000, "Parallel", 0.153235
1000000, "Built-in", 0.125839
1000000, "Sequential", 0.154596
1000000, "Parallel", 0.154927
1000000, "Built-in", 0.123952
1000000, "Sequential", 0.150580
1000000, "Parallel", 0.172271
1000000, "Built-in", 0.125110
1000000, "Sequential", 0.155520
1000000, "Parallel", 0.158364
1000000, "Built-in", 0.123622
